Date,Dividend,Price,Dividend Count,Annualized Yield (%)
2020-07-01,0.494,53.220001220703125,1,0.93
2020-08-03,0.29,54.18999862670898,2,1.07
2020-09-01,0.453,53.33000183105469,3,2.55
2020-11-02,0.515,55.369998931884766,5,4.65
2020-12-01,0.5,55.75,7,6.28
2020-12-30,0.543,55.75,7,6.82
2021-03-01,0.321,58.119998931884766,9,4.97
2021-04-01,0.348,59.27000045776367,10,5.87
2021-06-01,0.314,60.56999969482422,12,6.22
2021-08-02,0.257,62.52999877929688,12,4.93
2021-09-01,0.339,59.61000061035156,12,6.82
2021-11-01,0.366,60.56999969482422,12,7.25
2021-12-01,0.383,63.18999862670898,12,7.27
2021-12-30,0.459,63.18999862670898,12,8.72
2022-02-01,0.382,59.86000061035156,12,7.66
2022-03-01,0.462,61.400001525878906,12,9.03
2022-05-02,0.468,58.06999969482422,12,9.67
2022-06-01,0.516,55.45000076293945,12,11.17
2022-08-01,0.495,55.2599983215332,12,10.75
2022-09-01,0.559,51.22999954223633,12,13.09
2022-10-03,0.481,54.56999969482422,12,10.58
2022-11-01,0.606,56.77999877929688,12,12.81
2023-02-01,0.444,53.790000915527344,12,9.91
2023-03-01,0.411,54.59999847412109,12,9.03
2023-05-01,0.425,54.02000045776367,12,9.44
2023-06-01,0.365,55.33000183105469,12,7.92
2023-07-03,0.359,55.880001068115234,12,7.71
2023-08-01,0.29,55.59000015258789,12,6.26
2023-10-02,0.363,52.619998931884766,12,8.28
2023-11-01,0.359,54.709999084472656,12,7.87
2024-02-01,0.301,56.970001220703125,12,6.34
2024-04-01,0.345,55.93000030517578,12,7.4
2024-05-01,0.326,56.83000183105469,12,6.88
2024-07-01,0.33,57.47999954223633,12,6.89
2024-09-03,0.4,59.5099983215332,12,8.07
2024-10-01,0.392,58.68999862670898,12,8.01
2024-12-02,0.402,57.52999877929688,12,8.39
2024-12-31,0.395,57.52999877929688,12,8.24
2025-02-03,0.326,59.40999984741211,12,6.58
2025-03-03,0.328,57.13999938964844,12,6.89
