Date,Dividend,Price,Dividend Count,Annualized Yield (%)
2022-06-01,0.376,45.7599983215332,1,0.82
2022-08-01,0.407,46.2400016784668,3,2.64
2022-09-01,0.546,41.650001525878906,4,5.24
2022-10-03,0.38,43.119998931884766,5,4.41
2022-11-01,0.681,44.619998931884766,6,9.16
2023-02-01,0.441,42.59000015258789,9,9.32
2023-03-01,0.433,45.09000015258789,10,9.6
2023-05-01,0.484,47.25,12,12.29
2023-06-01,0.357,48.369998931884766,12,8.86
2023-07-03,0.367,49.43000030517578,12,8.91
2023-08-01,0.366,49.0,12,8.96
2023-10-02,0.417,46.15999984741211,12,10.84
2023-11-01,0.418,49.27999877929688,12,10.18
2024-02-01,0.342,53.290000915527344,11,7.06
2024-04-01,0.427,52.040000915527344,11,9.03
2024-05-01,0.431,54.18999862670898,11,8.75
2024-07-01,0.421,53.720001220703125,11,8.62
2024-09-03,0.557,54.93000030517578,11,11.15
2024-10-01,0.551,54.58000183105469,11,11.1
2024-12-02,0.508,56.380001068115234,12,10.81
2024-12-31,0.456,56.380001068115234,12,9.71
2025-02-03,0.45,55.97999954223633,12,9.65
2025-03-03,0.482,51.77999877929688,12,11.17
