Date,Dividend,Price,Dividend Count,Annualized Yield (%)
2017-10-02,0.118,25.052000045776367,1,0.47
2018-02-05,0.118,24.479999542236328,4,1.93
2018-04-04,0.118,24.15999984741211,6,2.93
2018-05-03,0.118,24.200000762939453,7,3.41
2018-07-05,0.117,24.450000762939453,9,4.31
2018-08-03,0.117,24.65999984741211,10,4.74
2018-10-03,0.117,23.57200050354004,11,5.46
2018-11-05,0.115,22.989999771118164,12,6.0
2018-12-06,0.115,22.540000915527344,12,6.12
2018-12-28,0.115,22.540000915527344,12,6.12
2019-02-05,0.115,23.979999542236328,12,5.75
2019-04-03,0.115,24.270000457763672,12,5.69
2019-05-03,0.115,24.229999542236328,12,5.7
2019-07-03,0.115,24.899999618530277,12,5.54
2019-09-05,0.114,25.09000015258789,12,5.45
2019-10-03,0.114,25.1200008392334,12,5.45
2019-12-04,0.114,25.030000686645508,12,5.47
2019-12-30,0.114,25.030000686645508,12,5.47
2020-03-04,0.114,21.8799991607666,12,6.25
2020-04-03,0.114,23.65999984741211,12,5.78
2020-06-03,0.114,23.5,12,5.82
2020-07-06,0.114,24.649999618530277,12,5.55
2020-08-05,0.109,24.96999931335449,12,5.24
2020-09-03,0.109,24.76000022888184,12,5.28
2020-11-04,0.109,25.459999084472656,12,5.14
2020-12-03,0.109,25.799999237060547,12,5.07
2020-12-30,0.109,25.799999237060547,12,5.07
2021-03-03,0.109,25.51000022888184,12,5.13
2021-04-05,0.109,25.739999771118164,12,5.08
2021-06-03,0.109,26.170000076293945,12,5.0
2021-08-04,0.109,26.049999237060547,12,5.02
2021-09-03,0.113,25.76000022888184,12,5.26
2021-11-03,0.109,25.25,12,5.18
2021-12-03,0.109,25.76000022888184,12,5.08
2021-12-30,0.109,25.76000022888184,12,5.08
2022-02-03,0.109,23.68000030517578,12,5.52
2022-03-03,0.109,23.5,12,5.57
2022-05-04,0.109,22.25,12,5.88
2022-06-03,0.109,21.209999084472656,12,6.17
2022-08-03,0.105,21.350000381469727,12,5.9
2022-09-06,0.105,20.51000022888184,12,6.14
2022-10-05,0.105,19.6299991607666,12,6.42
2022-11-03,0.105,20.479999542236328,12,6.15
2023-02-03,0.105,20.90999984741211,12,6.03
2023-03-03,0.105,19.86000061035156,12,6.34
2023-05-03,0.105,19.280000686645508,12,6.54
2023-06-05,0.105,19.38999938964844,12,6.5
2023-07-06,0.105,19.56999969482422,12,6.44
2023-08-03,0.105,19.190000534057617,12,6.57
2023-10-04,0.105,17.709999084472656,12,7.11
2023-11-03,0.105,19.13999938964844,12,6.58
2024-02-05,0.105,20.18000030517578,12,6.24
2024-04-03,0.105,19.290000915527344,12,6.53
2024-05-03,0.105,19.770000457763672,12,6.37
2024-07-03,0.105,19.75,12,6.38
2024-09-05,0.105,20.780000686645508,12,6.06
2024-10-03,0.105,20.459999084472656,12,6.16
2024-12-04,0.103,19.51000022888184,12,6.34
2024-12-30,0.103,19.51000022888184,12,6.34
2025-02-03,0.102,19.86000061035156,12,6.16
2025-03-03,0.102,19.040000915527344,12,6.43
