Date,Dividend,Price,Dividend Count,Annualized Yield (%)
2019-05-22,0.235,24.040000915527344,1,0.98
2019-07-24,0.137,25.86400032043457,3,1.59
2019-09-25,0.212,24.84199905395508,5,4.27
2019-10-23,0.168,25.22100067138672,6,4.0
2019-12-30,0.166,25.51000022888184,8,5.21
2020-01-21,0.196,24.44099998474121,9,7.22
2020-03-23,0.159,17.104000091552734,11,10.23
2020-04-20,0.176,18.173999786376957,12,11.62
2020-06-22,0.192,19.45499992370605,12,11.84
2020-07-20,0.202,20.29400062561035,12,11.94
2020-08-24,0.208,20.700000762939453,12,12.06
2020-09-21,0.209,20.64299964904785,12,12.15
2020-11-23,0.222,22.37800025939941,12,11.9
2020-12-30,0.228,22.584999084472656,12,12.11
2021-03-22,0.245,24.280000686645508,12,12.11
2021-04-19,0.249,24.850000381469727,12,12.02
2021-06-21,0.248,25.56999969482422,12,11.64
2021-08-23,0.251,25.26000022888184,12,11.92
2021-09-20,0.252,24.88999938964844,12,12.15
2021-11-22,0.255,24.25,12,12.62
2021-12-30,0.307,24.40999984741211,12,15.09
2022-01-24,0.223,22.799999237060547,12,11.74
2022-02-22,0.232,23.200000762939453,12,12.0
2022-03-21,0.24,23.809999465942383,12,12.1
2022-05-23,0.211,21.309999465942383,12,11.88
2022-06-21,0.202,20.540000915527344,12,11.8
2022-08-22,0.207,19.93000030517578,12,12.46
2022-09-19,0.196,18.43000030517578,12,12.76
2022-10-24,0.195,19.57999992370605,12,11.95
2022-11-21,0.199,19.559999465942383,12,12.21
2023-01-23,0.196,19.32999992370605,12,12.17
2023-02-21,0.196,19.1299991607666,12,12.29
2023-05-22,0.161,17.84000015258789,11,9.93
2023-06-20,0.183,18.09000015258789,11,11.13
2023-07-24,0.18,18.209999084472656,11,10.87
2023-08-21,0.174,17.56999969482422,11,10.89
2023-10-23,0.162,16.09000015258789,11,11.08
2023-11-20,0.168,16.6200008392334,11,11.12
2024-01-22,0.165,16.329999923706055,11,11.11
2024-02-20,0.163,16.5,11,10.87
2024-04-22,0.163,16.31999969482422,12,11.99
2024-05-20,0.165,16.270000457763672,12,12.17
2024-07-22,0.161,16.229999542236328,12,11.9
2024-09-23,0.162,16.15999984741211,12,12.03
2024-10-21,0.166,16.0,12,12.45
2024-12-30,0.166,16.34000015258789,12,12.19
2025-01-21,0.168,16.559999465942383,12,12.17
2025-02-24,0.163,16.049999237060547,12,12.19
2025-03-24,0.154,15.100000381469728,12,12.24
