Date,Dividend,Price,Dividend Count,Annualized Yield (%)
2012-12-24,0.086,9.446666717529297,2,1.82
2013-09-23,0.077,11.216667175292969,4,2.75
2013-12-23,0.083,12.220000267028809,4,2.72
2014-03-24,0.082667,12.283332824707031,4,2.69
2014-06-23,0.089667,12.756667137145996,4,2.81
2014-09-22,0.084667,12.853333473205566,4,2.63
2014-12-22,0.091667,13.283332824707031,4,2.76
2015-06-22,0.102,12.763333320617676,3,2.4
2015-09-21,0.099667,11.983332633972168,3,2.5
2016-03-21,0.099333,13.363332748413086,3,2.23
2016-06-20,0.105667,13.813332557678224,3,2.29
2016-09-19,0.081333,14.103333473205566,3,1.73
2020-03-25,0.147333,14.993332862854004,2,1.97
2020-06-24,0.147333,17.25,2,1.71
2020-12-10,0.200667,21.3799991607666,3,2.82
2021-03-24,0.167667,24.30666732788086,3,2.07
2021-12-08,0.206667,26.94333267211914,2,1.53
2022-03-23,0.172667,26.296667098999023,2,1.31
2022-06-22,0.234667,23.87666702270508,3,2.95
2022-09-21,0.212333,22.143333435058597,4,3.84
2023-03-22,0.199,24.386667251586918,4,3.26
2023-06-21,0.221667,24.206666946411133,4,3.66
2024-12-11,0.265,27.31999969482422,2,1.94
2025-03-26,0.249,27.959999084472656,2,1.78
