Date,Dividend,Price,Dividend Count,Annualized Yield (%)
2020-07-01,0.006,100.0250015258789,1,0.01
2020-08-03,0.011,100.0199966430664,2,0.02
2020-09-01,0.007,100.0199966430664,3,0.02
2020-11-02,0.005,100.0199966430664,5,0.02
2020-12-01,0.005,100.01499938964844,7,0.03
2020-12-17,0.006,100.01499938964844,7,0.04
2021-06-01,0.002,100.0250015258789,10,0.02
2021-08-02,0.002,100.0250015258789,10,0.02
2021-09-01,0.003,100.0250015258789,10,0.03
2021-11-01,0.003,100.0199966430664,10,0.03
2021-12-01,0.003,100.0250015258789,10,0.03
2021-12-16,0.005,100.0250015258789,10,0.05
2022-02-01,0.002,100.02999877929688,10,0.02
2022-03-01,0.008,100.0500030517578,11,0.09
2022-05-02,0.025,100.08000183105467,12,0.3
2022-06-01,0.041,100.12000274658205,12,0.49
2022-08-01,0.116,100.1999969482422,12,1.39
2022-09-01,0.168,100.2699966430664,12,2.01
2022-10-03,0.157,100.30999755859376,12,1.88
2022-11-01,0.241,100.37000274658205,12,2.88
2023-02-01,0.394,100.43000030517578,12,4.71
2023-03-01,0.278,100.58000183105467,12,3.32
2023-05-01,0.392,100.58999633789062,12,4.68
2023-06-01,0.432,100.62999725341795,12,5.15
2023-07-03,0.417,100.62000274658205,12,4.97
2023-08-01,0.442,100.66999816894533,12,5.27
2023-10-02,0.412,100.6999969482422,12,4.91
2023-11-01,0.427,100.7300033569336,12,5.09
2024-02-01,0.458,100.6999969482422,12,5.46
2024-04-01,0.45,100.6999969482422,12,5.36
2024-05-01,0.428,100.75,12,5.1
2024-07-01,0.439,100.72000122070312,12,5.23
2024-09-03,0.444,100.72000122070312,12,5.29
2024-10-01,0.43,100.6999969482422,12,5.12
2024-12-02,0.378,100.31999969482422,12,4.52
2024-12-18,0.372,100.31999969482422,12,4.45
2025-02-03,0.363,100.6500015258789,12,4.33
2025-03-03,0.313,100.66999816894533,12,3.73
