Date,Dividend,Price,Dividend Count,Annualized Yield (%)
2013-07-24,0.039,41.93999862670898,1,0.09
2013-09-25,0.05,41.5,3,0.36
2013-10-23,0.035,43.16999816894531,4,0.32
2013-12-26,0.758,44.16999816894531,6,10.3
2014-01-23,0.019,42.90999984741211,7,0.31
2014-02-26,0.135,44.47999954223633,8,2.43
2014-03-26,0.046,44.68000030517578,9,0.93
2014-04-23,0.033,44.81999969482422,10,0.74
2014-06-25,0.052,46.18000030517578,12,1.35
2014-07-23,0.036,45.56999969482422,12,0.95
2014-09-24,0.171,46.2400016784668,12,4.44
2014-10-23,0.25,45.959999084472656,12,6.53
2014-12-24,0.684,45.59999847412109,12,18.0
2015-03-25,0.069,45.2400016784668,12,1.83
2015-04-22,0.131,45.56999969482422,12,3.45
2015-06-24,0.189,45.0,12,5.04
2015-07-22,0.058,45.7400016784668,12,1.52
2015-08-26,0.37,42.709999084472656,12,10.4
2015-09-23,0.396,40.72999954223633,12,11.67
2015-11-25,0.085,44.400001525878906,12,2.3
2015-12-23,0.366,43.77000045776367,12,10.03
2016-02-24,0.08,41.209999084472656,12,2.33
2016-03-23,0.074,43.02999877929688,12,2.06
2016-05-25,0.267,43.59999847412109,12,7.35
2016-06-22,0.091,43.619998931884766,12,2.5
2016-08-24,0.076,44.79999923706055,12,2.04
2016-09-21,0.198,44.66999816894531,12,5.32
2016-10-26,0.176,43.970001220703125,12,4.8
2016-11-23,0.077,44.84999847412109,12,2.06
2017-01-25,0.227,46.119998931884766,12,5.91
2017-02-23,0.06,47.34000015258789,12,1.52
2017-03-22,0.061,47.310001373291016,12,1.55
2017-05-24,0.077,48.25,12,1.92
2017-06-21,0.054,48.36000061035156,12,1.34
2017-07-26,0.054,48.959999084472656,12,1.32
2017-08-23,0.247,48.83000183105469,12,6.07
2017-10-25,0.037,50.16999816894531,12,0.88
2017-11-22,0.067,51.09999847412109,12,1.57
2018-01-24,0.259,51.380001068115234,12,6.05
2018-02-21,0.25,49.95000076293945,12,6.01
2018-04-25,0.245,48.83000183105469,12,6.02
2018-05-23,0.251,49.650001525878906,12,6.07
2018-07-25,0.256,51.41999816894531,12,5.97
2018-08-22,0.26,52.43000030517578,12,5.95
2018-10-24,0.247,49.68000030517578,12,5.97
2018-11-21,0.233,49.25,12,5.68
2018-12-28,0.388,44.31999969482422,12,10.51
2019-01-23,0.227,46.25,12,5.89
2019-02-20,0.235,46.970001220703125,12,6.0
2019-04-24,0.245,48.959999084472656,12,6.0
2019-05-22,0.24,46.02999877929688,12,6.26
2019-07-24,0.251,49.619998931884766,12,6.07
2019-09-25,0.243,48.68999862670898,12,5.99
2019-10-23,0.245,49.40999984741211,12,5.95
2019-12-30,0.256,50.66999816894531,12,6.06
2020-01-21,0.259,50.290000915527344,12,6.18
2020-03-23,0.183,38.20000076293945,12,5.75
2020-04-20,0.203,40.9900016784668,12,5.94
2020-06-22,0.209,42.47999954223633,12,5.9
2020-07-20,0.218,43.900001525878906,12,5.96
2020-08-24,0.392,44.959999084472656,12,10.46
2020-09-21,0.445,44.630001068115234,12,11.97
2020-11-23,0.449,46.08000183105469,12,11.69
2020-12-30,0.404,46.400001525878906,12,10.45
2021-03-22,0.42,47.81999969482422,12,10.54
2021-04-19,0.361,47.84999847412109,12,9.05
2021-06-21,0.387,49.040000915527344,12,9.47
2021-08-23,0.373,49.79999923706055,12,8.99
2021-09-20,0.37,48.52999877929688,12,9.15
2021-11-22,0.365,49.20000076293945,12,8.9
2021-12-30,0.458,50.5099983215332,12,10.88
2022-01-24,0.481,48.84000015258789,12,11.82
2022-02-22,0.484,48.02000045776367,12,12.09
2022-03-21,0.501,49.52000045776367,12,12.14
2022-05-23,0.441,44.40999984741211,12,11.92
2022-06-21,0.422,42.68000030517578,12,11.87
2022-08-22,0.434,41.220001220703125,12,12.63
2022-09-19,0.405,38.11000061035156,12,12.75
2022-10-24,0.401,39.97999954223633,12,12.04
2022-11-21,0.405,40.38999938964844,12,12.03
2023-01-23,0.41,40.70000076293945,12,12.09
2023-02-21,0.408,40.16999816894531,12,12.19
2023-03-20,0.399,40.5,12,11.82
2023-05-22,0.284,40.63999938964844,12,8.39
2023-06-20,0.327,41.04999923706055,12,9.56
2023-07-24,0.287,41.34000015258789,12,8.33
2023-08-21,0.38,40.290000915527344,12,11.32
2023-10-23,0.384,38.18000030517578,12,12.07
2023-11-20,0.267,38.970001220703125,12,8.22
2024-01-22,0.314,39.83000183105469,12,9.46
2024-02-20,0.302,40.18000030517578,12,9.02
2024-04-22,0.34,39.90999984741211,12,10.22
2024-05-20,0.282,40.04999923706055,12,8.45
2024-07-22,0.313,40.52000045776367,12,9.27
2024-09-23,0.342,41.5,12,9.89
2024-10-21,0.386,40.86000061035156,12,11.34
2024-12-30,1.19,41.900001525878906,12,34.08
2025-01-21,0.373,42.36000061035156,12,10.57
2025-02-24,0.291,41.81999969482422,12,8.35
2025-03-24,0.401,39.4900016784668,12,12.19
