Date,SCHD,JEPQ,JEPI,TLT,SHY,SGOV,QQQ,SPY,VYM,HDV,DVY,NOBL,DHS,SPYD,QYLD,RYLD,XYLD,PFFD
1993-03-19,,,,,,,,0.213,,,,,,,,,,
1993-06-18,,,,,,,,0.318,,,,,,,,,,
1993-09-17,,,,,,,,0.286,,,,,,,,,,
1993-12-17,,,,,,,,0.317,,,,,,,,,,
1994-03-18,,,,,,,,0.271,,,,,,,,,,
1994-06-17,,,,,,,,0.305,,,,,,,,,,
1994-09-16,,,,,,,,0.288,,,,,,,,,,
1994-12-16,,,,,,,,0.363,,,,,,,,,,
1995-03-17,,,,,,,,0.268,,,,,,,,,,
1995-06-16,,,,,,,,0.316,,,,,,,,,,
1995-09-15,,,,,,,,0.312,,,,,,,,,,
1995-12-15,,,,,,,,0.382,,,,,,,,,,
1996-03-15,,,,,,,,0.285,,,,,,,,,,
1996-06-21,,,,,,,,0.351,,,,,,,,,,
1996-09-20,,,,,,,,0.352,,,,,,,,,,
1996-12-20,,,,,,,,0.367,,,,,,,,,,
1997-03-21,,,,,,,,0.299,,,,,,,,,,
1997-06-20,,,,,,,,0.35,,,,,,,,,,
1997-09-19,,,,,,,,0.348,,,,,,,,,,
1997-12-19,,,,,,,,0.38,,,,,,,,,,
1998-03-20,,,,,,,,0.313,,,,,,,,,,
1998-06-19,,,,,,,,0.352,,,,,,,,,,
1998-09-18,,,,,,,,0.359,,,,,,,,,,
1998-12-18,,,,,,,,0.392,,,,,,,,,,
1999-03-19,,,,,,,,0.32,,,,,,,,,,
1999-06-18,,,,,,,,0.405,,,,,,,,,,
1999-09-17,,,,,,,,0.372,,,,,,,,,,
1999-12-17,,,,,,,,0.348,,,,,,,,,,
2000-03-17,,,,,,,,0.371,,,,,,,,,,
2000-06-16,,,,,,,,0.348,,,,,,,,,,
2000-09-15,,,,,,,,0.375,,,,,,,,,,
2000-12-15,,,,,,,,0.411,,,,,,,,,,
2001-03-16,,,,,,,,0.316,,,,,,,,,,
2001-06-15,,,,,,,,0.346,,,,,,,,,,
2001-09-21,,,,,,,,0.369,,,,,,,,,,
2001-12-21,,,,,,,,0.393,,,,,,,,,,
2002-03-15,,,,,,,,0.331,,,,,,,,,,
2002-06-21,,,,,,,,0.353,,,,,,,,,,
2002-09-03,,,,0.373,0.133,,,,,,,,,,,,,
2002-09-20,,,,,,,,0.378,,,,,,,,,,
2002-10-01,,,,0.343,0.12,,,,,,,,,,,,,
2002-11-01,,,,0.389,0.133,,,,,,,,,,,,,
2002-12-02,,,,0.389,0.12,,,,,,,,,,,,,
2002-12-20,,,,,,,,0.436,,,,,,,,,,
2002-12-31,,,,0.446,0.139,,,,,,,,,,,,,
2003-02-03,,,,0.308,0.122,,,,,,,,,,,,,
2003-03-03,,,,0.34,0.107,,,,,,,,,,,,,
2003-03-21,,,,,,,,0.354,,,,,,,,,,
2003-04-01,,,,0.378,0.112,,,,,,,,,,,,,
2003-05-01,,,,0.473,0.13,,,,,,,,,,,,,
2003-06-02,,,,0.398,0.107,,,,,,,,,,,,,
2003-06-20,,,,,,,,0.36,,,,,,,,,,
2003-07-01,,,,0.353,0.102,,,,,,,,,,,,,
2003-08-01,,,,0.378,0.102,,,,,,,,,,,,,
2003-09-02,,,,0.372,0.103,,,,,,,,,,,,,
2003-09-19,,,,,,,,0.4,,,,,,,,,,
2003-10-01,,,,0.367,0.093,,,,,,,,,,,,,
2003-11-03,,,,0.348,0.111,,,,,,,,,,,,,
2003-12-01,,,,0.418,0.108,,,,,,,,,,,,,
2003-12-12,,,,,,,,,,,0.288,,,,,,,
2003-12-16,,,,,0.335,,,,,,,,,,,,,
2003-12-19,,,,,,,,0.516,,,,,,,,,,
2003-12-24,,,,,,,0.014,,,,,,,,,,,
2003-12-31,,,,0.4,0.116,,,,,,,,,,,,,
2004-02-02,,,,0.358,0.119,,,,,,,,,,,,,
2004-03-01,,,,0.356,0.113,,,,,,,,,,,,,
2004-03-19,,,,,,,,0.395,,,,,,,,,,
2004-03-26,,,,,,,,,,,0.463,,,,,,,
2004-04-01,,,,0.348,0.12,,,,,,,,,,,,,
2004-05-03,,,,0.325,0.116,,,,,,,,,,,,,
2004-06-01,,,,0.322,0.124,,,,,,,,,,,,,
2004-06-18,,,,,,,,0.414,,,,,,,,,,
2004-06-25,,,,,,,,,,,0.488,,,,,,,
2004-07-01,,,,0.336,0.147,,,,,,,,,,,,,
2004-08-02,,,,0.33,0.143,,,,,,,,,,,,,
2004-09-01,,,,0.35,0.132,,,,,,,,,,,,,
2004-09-17,,,,,,,,0.469,,,,,,,,,,
2004-09-24,,,,,,,,,,,0.463,,,,,,,
2004-10-01,,,,0.361,0.132,,,,,,,,,,,,,
2004-11-01,,,,0.366,0.138,,,,,,,,,,,,,
2004-11-15,,,,,,,,0.351,,,,,,,,,,
2004-12-01,,,,0.355,0.145,,,,,,,,,,,,,
2004-12-17,,,,,,,0.379,0.568,,,,,,,,,,
