Date,Close,Open,High,Low,Volume,변동 %
1975-01-03,174.7,173.0,175.5,170.5,,-0.23%
1975-01-06,174.4,172.0,174.5,167.5,,-0.17%
1975-01-07,173.4,171.0,174.0,168.5,,-0.57%
1975-01-08,177.4,176.0,180.0,176.0,,2.31%
1975-01-09,178.3,179.0,179.1,177.0,,0.51%
1975-01-10,181.3,177.0,181.3,176.5,,1.68%
1975-01-13,178.6,181.0,181.0,178.6,,-1.49%
1975-01-14,178.6,177.0,178.6,176.5,,0.00%
1975-01-15,177.3,178.8,179.4,177.3,,-0.73%
1975-01-16,175.1,177.0,177.0,174.6,,-1.24%
1975-01-17,172.1,174.7,175.8,172.1,,-1.71%
1975-01-20,176.2,173.6,176.2,173.6,,2.38%
1975-01-21,173.7,173.7,173.7,173.7,,-1.42%
1975-01-22,174.3,175.9,175.9,174.3,,0.35%
1975-01-23,176.4,177.0,178.9,176.4,,1.20%
1975-01-24,179.5,179.0,180.0,177.8,,1.76%
1975-01-27,176.8,180.0,180.0,176.8,,-1.50%
1975-01-28,176.0,177.3,177.3,175.4,,-0.45%
1975-01-29,179.1,177.4,179.1,177.4,,1.76%
1975-01-30,178.3,179.7,180.7,178.0,,-0.45%
1975-01-31,178.0,178.0,178.4,177.0,,-0.17%
1975-02-03,178.3,179.1,179.7,178.1,,0.17%
1975-02-04,177.3,176.5,177.5,175.6,,-0.56%
1975-02-05,176.7,177.2,177.7,176.5,,-0.34%
1975-02-06,176.3,174.9,176.7,174.1,,-0.23%
1975-02-07,177.3,177.2,177.4,176.4,,0.57%
1975-02-10,175.6,176.0,176.4,175.5,,-0.96%
1975-02-11,176.8,176.3,177.1,171.3,,0.68%
1975-02-13,185.8,180.5,186.7,180.2,,5.09%
1975-02-14,184.9,186.0,186.8,182.5,,-0.48%
1975-02-18,185.4,182.0,185.7,181.7,,0.27%
1975-02-19,185.6,186.0,188.0,185.5,,0.11%
1975-02-20,187.7,185.7,188.4,185.4,,1.13%
1975-02-21,186.0,188.0,188.5,185.0,,-0.91%
1975-02-24,186.9,186.7,187.5,186.7,,0.48%
1975-02-25,184.4,189.0,189.0,184.1,,-1.34%
1975-02-26,185.2,185.5,185.7,183.2,,0.43%
1975-02-27,182.5,184.2,184.9,181.4,,-1.46%
1975-02-28,183.0,183.0,183.0,181.0,,0.27%
1975-03-03,182.6,183.3,187.5,182.2,,-0.22%
1975-03-04,177.0,181.5,185.0,177.0,,-3.07%
1975-03-05,178.7,177.0,180.1,176.4,,0.96%
1975-03-06,180.6,179.8,181.4,179.8,,1.06%
1975-03-07,178.0,179.5,179.5,176.8,,-1.44%
1975-03-10,177.2,177.1,177.8,176.1,,-0.45%
1975-03-11,180.0,179.1,180.5,178.7,,1.58%
1975-03-12,178.1,178.0,178.7,177.6,,-1.06%
1975-03-13,179.5,178.9,180.0,178.9,,0.79%
1975-03-14,178.7,178.4,178.7,178.1,,-0.45%
1975-03-17,179.0,178.5,179.3,177.6,,0.17%
1975-03-18,178.6,179.0,179.5,178.3,,-0.22%
1975-03-19,179.2,179.2,179.4,178.5,,0.34%
1975-03-20,175.5,178.8,178.8,175.0,,-2.06%
1975-03-21,175.6,176.5,177.0,175.5,,0.06%
1975-03-24,175.9,176.8,178.8,175.2,,0.17%
1975-03-25,176.2,177.2,177.2,175.7,,0.17%
1975-03-26,178.1,176.5,178.2,176.5,,1.08%
1975-03-27,176.0,177.8,178.0,175.4,,-1.18%
1975-03-31,179.5,178.2,179.7,178.0,,1.99%
1975-04-01,179.1,179.7,179.7,178.4,,-0.22%
1975-04-02,178.1,179.6,179.9,177.9,,-0.56%
1975-04-03,177.1,177.5,177.5,176.0,,-0.56%
1975-04-04,173.8,175.5,175.9,173.3,,-1.86%
1975-04-07,174.1,174.5,174.5,173.0,,0.17%
1975-04-08,174.5,175.2,175.6,174.4,,0.23%
1975-04-09,174.5,174.0,174.7,173.3,,0.00%
1975-04-10,173.1,173.7,173.7,172.1,,-0.80%
1975-04-11,172.7,173.3,173.3,172.2,,-0.23%
1975-04-14,166.2,169.0,169.7,165.8,,-3.76%
1975-04-15,164.6,163.0,165.7,162.3,,-0.96%
1975-04-16,166.5,166.5,167.4,166.1,,1.15%
1975-04-17,169.5,167.5,170.2,166.9,,1.80%
1975-04-18,169.0,170.8,171.0,168.4,,-0.29%
1975-04-21,165.7,166.0,166.4,164.9,,-1.95%
1975-04-22,166.7,165.1,168.0,165.0,,0.60%
1975-04-23,168.8,166.9,169.5,165.8,,1.26%
1975-04-24,167.0,168.5,168.5,166.5,,-1.07%
